space_name,phase,visit_type,Title,Event,Action,Outcome,w_card,b_card,i_card,l_card,e_card,Time,Fee,space_1,space_2,space_3,space_4,space_5,Negotiate,requires_dice_roll,path,rolls,end_turn_label,try_again_label,w_card_label,b_card_label,i_card_label,l_card_label,e_card_label,shake_on,tts_field,w_card_narrative,b_card_narrative,i_card_narrative,l_card_narrative,e_card_narrative,is_starting_space,is_resume_hub,is_point_of_no_return,min_w_cards_to_leave,fee_calculation_method,fee_label,auto_apply_funding,auto_trigger_card_types,path_choice_memory_key,is_path_choice_lock_point,display_label_override,review_loop_message,pos_x,pos_y,funding_source,has_final_review_gate,approval_role,npc_speaker,fee_category
REG-FDNY-FEE-REVIEW,REGULATORY,Subsequent,"FDNY intake, second visit","Second visit. We remember faces here. Recognition usually means more attention, not less. Same questions — answer them the same way.",Run through intake again. Be straight — they remember inconsistencies.,Path through FDNY updated.,,,,,,1 day,,Did you pass FDNY approval before? YES - Space 2 - NO - Space 3,Did the scope change since the last visit? YES - REG-FDNY-PLAN-EXAM - NO - Space 3,Did Department of Buildings send you here? YES - REG-FDNY-PLAN-EXAM - NO - Space 4,Do you have: sprinklers / standpipe / fire alarm / fire suppression? YES - REG-FDNY-PLAN-EXAM - NO - Space 5,Do you have  DOB approval? YES - PM-DECISION-CHECK or CON-INITIATION NO - REG-DOB-TYPE-SELECT,No,No,LOGIC,,Take the updated route,,,,,,,,story,,,,,,,,,,,,,,,,Fire Dept. Intake,,820,680,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-FDNY-PLAN-EXAM,REGULATORY,First,FDNY plan exam,"I read for what kills people in fires. Sprinkler heads, standpipe risers, egress widths, alarm zones. Sound like you know the code if you want — I actually know it. Objections come back specific.","Accept FDNY's verdict, or push back on objections.",FDNY verdict in.,,,,Draw 1 if you roll a 1,,10 days,,,,,,,YES,Yes,Main,1,Accept FDNY's verdict,Push back on objections,,,,,,negative,summary,,,,,,,,,,,,,,,,Fire Dept. Review,Fire safety review identified items needing attention. The FDNY examiner requires additional information or modifications.,820,790,,fdny_exam,fdny_exam,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-FDNY-PLAN-EXAM,REGULATORY,Subsequent,FDNY second read — final,You've been here once. We don't do third negotiations — this round you get a stamp or you don't. Sit quietly. Speak only when spoken to.,Approval stamp or denial stamp — which one comes out?,Stamp chosen.,,,,Draw 1 if you roll a 2,,5 days,,,,,,,NO,Yes,Main,1,Take the stamp,,,,,,,negative,summary,,,,,,,,,,,,,,,,Fire Dept. Review,Fire safety review identified items needing attention. The FDNY examiner requires additional information or modifications.,820,790,,fdny_exam,fdny_exam,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON-INITIATION,CONSTRUCTION,First,"Sit down, let's talk price","Sit down. You need someone to build this thing — I'm your guy. Quality, cost, schedule — pick two, but I'll be straight with you on all three. Cheap crew costs you on the back end. Good crew costs you up front. Your call.","Quality and cost multiplier on the table. Sign the contractor, or push back on the price.",Contractor hired. Dig starts soon.,,,,Draw 1 if you roll a 3,Draw 3,,,CON-ISSUES,,,,,YES,Yes,Main,2,Sign the contractor,Push back on the price,,,,,,negative,summary,,,,,,,,,,,,,,,,Hire a Builder,,1020,20,,,,,
,Accept Terms,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON-INITIATION,CONSTRUCTION,Subsequent,Change order on the table,"Look — things shifted on site. Found something we couldn't see in the drawings. I need a change order. Time extension, extra fee. Not unreasonable. But it's not free either.","Sign the change order, or push back.",Change order accepted.,,,,Draw 1 if you roll a 4,Draw 1,,,CON-ISSUES,,,,,YES,Yes,Main,2,Sign the change order,Push back on the change order,,,,,,negative,summary,,,,,,,,,,,,,,,,Hire a Builder,,1020,20,,,,,construction
,Accept Terms,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON-ISSUES,CONSTRUCTION,First,We hit something in the field,Boss — we hit something in the field. Wasn't on the drawings. Every hour we're stopped costs you. Need to swap a body in for the right specialist. We can fix it on site if we move now.,Swap a contact for the right specialist. Try to fix it on site.,Issue addressed. Moving on.,,,,Draw 1 if you roll a 5,Replace 1,,,,,,,,No,Yes,Main,1,Move past it,,,,,,,negative,summary,,,,,,,,,,,,,,,,Trouble On Site,,1020,240,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON-ISSUES,CONSTRUCTION,Subsequent,Another one in the field,"Boss — another one. Construction sites don't hand you problems one at a time, they pile up. Every day we're slowed costs you. Push hard or eat the delay.",Push hard to head off the delay. No time to spare.,Issue handled.,,,,Draw 1 if you roll a 6,The person to your right takes a card.,,,,,,,,No,Yes,Main,1,Move past it,,,,,,,negative,summary,,,,,,,,,,,,,,,,Trouble On Site,,1020,240,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON-INSPECT,CONSTRUCTION,First,Inspector just walked in,"Boss — inspector just walked onto the site. Looks fresh, that cuts both ways. There's a safety violation by the southwest corner — let me steer them somewhere else while you handle the paperwork.",Steer their attention elsewhere. See if it works.,Inspection complete.,,,,Draw 1 if you roll a 1,Return 1,,,,,,,,No,Yes,Main,1,Wrap the inspection,,,,,,,negative,summary,,,,,,,,,,,,,,,,Site Inspection,,1020,130,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON-INSPECT,CONSTRUCTION,Subsequent,Johnes is back for the follow-up,"Boss — Inspector Johnes is back. He never liked you, but he's fair. Frank's crew just wrapped, two of his guys can join us for the walk. Extra eyes, extra hands. Keep our story straight.","Walk the site with the inspector. Steady answers, no volunteered info.",Follow-up complete.,,,,Draw 1 if you roll a 2,Draw 2,,,,,,,,No,Yes,Main,1,Wrap the walkthrough,,,,,,,negative,summary,,,,,,,,,,,,,,,,Site Inspection,,1020,130,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-FINAL-REVIEW,REGULATORY,First,Final review counter,Final review. Birthday party in the back office — everything's running an hour late. You picked a good day to come in. Maybe your file gets a softer read. Maybe.,"Accept the verdict, or ask for another pass.",Final verdict is in.,,,,Draw 1 if you roll a 3,Draw 3,,,,,,,,YES,Yes,Main,1,Accept the verdict,Ask for another pass,,,,,,negative,summary,,,,,,,,,,,,,,,,Final Approval,,820,240,,Yes,,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG-DOB-FINAL-REVIEW,REGULATORY,Subsequent,"Final review, second pass",Bad day at the counter. Supervisor's consoling a clerk who just got chewed out. Files are crawling. Hope nobody notices the photocopy where the original should be.,"Accept the verdict, or ask for another pass.",Final verdict is in.,,,,Draw 1 if you roll a 4,Draw 1,,,,,,,,YES,Yes,Main,1,Accept the verdict,Ask for another pass,,,,,,negative,summary,,,,,,,,,,,,,,,,Final Approval,,820,240,,Yes,,,
,Accept Result,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINISH,END,First,You delivered,"You delivered. Took longer than I wanted, cost more than I budgeted — but it's done, and it's done right. That's what matters in the end. Good work.",Final score gets calculated here.,Project delivered. Score incoming.,,,,,,,,,,,,,No,No,Main,,End the project,,,,,,,,story,,,,,,,,,,,,,,,,Finish,,1220,20,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINISH,END,Subsequent,Project Complete!,You Completed project!,YOU ARE done! Calculate final score.,Project's already delivered. Final score's locked in.,,,,,,,,,,,,,No,No,Main,,End Turn,Try Again,,,,,,,story,,,,,,,,,,,,,,,,,,1220,20,,,,,
