id,term,definition_simple,definition_technical,instructions,category,source,needs_review,aliases,related_terms,image_url,video_url,source_url,instagram_link,last_used_as_wotd,why_it_matters,related_documents,game_card_id,game_space_id,timestamp
55-a-program,55-a Program,A city program that helps people with disabilities get government jobs.,A New York City program that provides employment opportunities for individuals with disabilities.,,Agencies,auto-collected | AI Generated,True,,dcas|civil-service-exam|accessibility|government-jobs,,,,,,Makes sure the city workforce is inclusive and gives everyone a fair chance to serve the public.,,,,
certificate-of-occupancy,Certificate of Occupancy,The most important document for a building; it proves that the city has checked the building and said it is safe to live in.,A document issued by the Department of Buildings that certifies a building or structure is in compliance with applicable building codes and can be legally occupied.,,Documents,auto-collected | AI Generated,True,,co|tco|permit|inspection,,,,https://www.instagram.com/unravelcodes/,,You cannot legally live in or sell a new or majorly renovated building without this certificate.,,,,
certificate-of-occupancy,Certificate of Occupancy,The most important document for a building; it proves that the city has checked the building and said it is safe to live in.,A document issued by a local government agency or building department certifying that a building or structure complies with applicable building codes and regulations and can be legally occupied.,,Documents,auto-collected | AI Generated,True,,co|tco|permit|inspection,,,,,,You cannot legally live in or sell a new or majorly renovated building without this certificate.,,,,
dcas,DCAS,The Department of Citywide Administrative Services - the agency that manages city buildings and hires city workers.,"The New York City Department of Citywide Administrative Services is an agency responsible for managing the civil service system, city real estate, and providing support services to other city agencies.",, the agency responsible for the civil service system in New York City.,Agencies | AI Generated,True,Department of Citywide Administrative Services,civil-service-exam|government|agencies|infrastructure,,,,,,"They are the 'back office' of the city, making sure other agencies have the space and people they need to work.",,,,
community-development-financial-institution,Community Development Financial Institution (CDFI),,A specialized financial institution that works in market niches that are underserved by traditional financial institutions.,,Finance,auto-collected,False,,,,,,,,,,,,
facade-inspection-safety-program-fisp,Facade Inspection & Safety Program (FISP),,A NYC regulatory program that requires periodic inspections and repairs of building facades to ensure public safety.,,Regulation,NYC Department of Buildings,False,Facade Inspection Service Program,Local Law 11,,,,,,,,,,
sidewalk-shed,Sidewalk shed,,A temporary structure erected over a sidewalk to protect pedestrians from falling debris during construction or facade work.,,Construction,NYC Department of Buildings,False,Sidewalk canopy,Pedestrian protection,,,,,,,,,,
get-sheds-down,Get Sheds Down,,A DOB initiative to reduce the number of unnecessary and long-standing sidewalk sheds across NYC.,,Regulation,NYC Department of Buildings,False,Shed removal,Facade repairs,,,,,,,,,,
local-law-11,Local Law 11,,The NYC law that established the Facade Inspection & Safety Program (FISP).,,Regulation,NYC Department of Buildings,False,FISP,Facade inspections,,,,,,,,,,
ems,EMS,TEST: This is a simple definition for EMS.,Emergency Medical Services.,"TEST: Step 1. Call 911.
Step 2. Wait for help.",Agencies,auto-collected,False,EMT|Paramedic,,,,,,,,,,,
accident,ACCIDENT,,,,OSHA DOB,iqarius_excel,True,,,,,,https://www.instagram.com/unravelcodes/,,,,,,2026-01-25 23:50:22
iatc-seafood-inspection-news,IATC Seafood Inspection News,Latest updates about how seafood is checked for safety and quality in New York City.,Information regarding the regulatory inspections and compliance standards for seafood products as mandated by the International Aquatic and Terrestrial Certification agency.,,Agencies,instagram_auto | AI Generated,True,,food-safety|health-inspection|seafood,,,,,,Ensures that seafood consumed in the city meets health standards and is safe for the public.,,,,2026-01-25 23:50:22
iatc-trade-commerce-news,IATC Trade & Commerce News,News and updates related to trade and commerce in the aquatic and terrestrial industries from the International Aquatic and Terrestrial Certification (IATC) agency.,News and updates related to trade and commerce in the aquatic and terrestrial industries from the International Aquatic and Terrestrial Certification (IATC) agency.,,Agencies,instagram_auto,True,,,,,,,,,,,,2026-01-25 23:50:22
dining-out-nyc,Dining Out NYC,New York City's official program for sidewalk and roadway cafes.,"The permanent outdoor dining program managed by the NYC Department of Transportation, replacing the temporary pandemic-era measures with standardized design and accessibility requirements.",,Processes,instagram_auto | AI Generated,True,,sidewalk-cafe|outdoor-dining|dot|zoning,,,,,,"It sets the rules for how restaurants can use outdoor space, affecting neighborhood character and sidewalk accessibility.",,,,2026-01-25 23:50:22
security-gate,Security Gate,The metal roll-down gates used to protect store windows and doors when they are closed.,"A movable barrier used for securing commercial premises, which in NYC must typically provide at least 75% transparency when closed to comply with zoning regulations.",,Construction,instagram_auto | AI Generated,True,,storefront|security|protection|zoning,,,,,,"Businesses use them for safety, but NYC has rules about how much they must be see-through to keep streets looking safe and inviting.",,,,2026-01-25 23:50:22
zoning-resolution,Zoning Resolution,The giant book of rules that says what can be built where in New York City.,"The comprehensive set of regulations governing land use and development in New York City, divided into zoning districts that specify permitted uses, bulk, and density.",,Legal,instagram_auto | AI Generated,True,,zoning|land-use|dcp|variance,,,,https://www.instagram.com/unravelcodes/,,"It determines if a building can be a house, a store, or a factory, and how tall it can be.",,,,2026-01-25 23:50:22
air-handling-unit,Air Handling Unit,The big metal box that circulates and cleans the air in a building's heating and cooling system.,"A device used to regulate and circulate air as part of a heating, ventilating, and air-conditioning system, typically containing a blower, heating/cooling elements, and filters.",,,iqarius_excel | AI Generated,True,,hvac|mechanical-systems|ventilation,,,,,,"It is the 'lungs' of the building, ensuring fresh air and comfortable temperatures for occupants.",,,,2026-01-25 23:51:52
amendment,Amendment,A change or update made to a building plan that has already been submitted to the city.,A request to modify a previously filed application or approved construction documents.,,,iqarius_excel | AI Generated,True,,filing|permit|paa|post-approval-amendment,,,,https://www.instagram.com/unravelcodes/,,Allows architects and owners to fix mistakes or change designs without starting the whole permit process over.,,,,2026-01-25 23:51:52
annual-inspection,Annual Inspection,A yearly check-up required for certain building systems like elevators or boilers to make sure they are safe.,A mandatory periodic examination of building equipment and systems to ensure ongoing compliance with safety codes and operational standards.,,,iqarius_excel | AI Generated,True,,inspection|elevator|boiler|maintenance,,,,,,Prevents accidents and ensures that critical building machinery is working correctly and safely.,,,,2026-01-25 23:51:52
as-of-right,As of Right,When a construction project follows all the rules perfectly and doesn't need any special permissions from the city.,A development that complies with all applicable zoning regulations and does not require a discretionary action such as a variance or special permit.,,,iqarius_excel | AI Generated,True,,zoning|permit|variance|bsa,,,,https://www.instagram.com/unravelcodes/,,As-of-right projects are much faster and cheaper because they don't need public hearings or special board approvals.,,,,2026-01-25 23:51:52
asbestos-investigator,Asbestos Investigator,A licensed professional who tests buildings for dangerous asbestos fibers before renovation or demolition.,An individual certified by the NYC Department of Environmental Protection to perform asbestos surveys and hazard assessments.,,,iqarius_excel | AI Generated,True,,asbestos|dep|remediation|safety,,,,,,Disrupting asbestos can cause severe lung diseases; investigators make sure it's found and handled safely.,,,,2026-01-25 23:51:52
awning,Awning,"A roof-like cover, usually made of fabric, that sticks out over a window or door to provide shade.","A secondary covering attached to the exterior wall of a building, typically composed of canvas woven of acrylic, cotton or polyester yarn.",,,iqarius_excel | AI Generated,True,,canopy|storefront|zoning|signage,,,,https://www.instagram.com/unravelcodes/,,"Awnings improve energy efficiency and storefront appearance, but they must meet size and safety rules to avoid fines.",,,,2026-01-25 23:51:52
billboard,Billboard,"A very large outdoor sign used for advertising, often found on high buildings or near highways.","A large outdoor advertising structure, often classified as an indirect business sign or advertising sign under NYC zoning law.",,,iqarius_excel | AI Generated,True,,advertising-sign|signage|zoning|violation,,,,https://www.instagram.com/unravelcodes/,,NYC has strict rules about where billboards can be placed to prevent light pollution and preserve neighborhood character.,,,,2026-01-25 23:51:52
bowstring-truss,Bowstring Truss,"A type of roof support that looks like a curved bow, often found in older warehouses and garages.","A structural truss having a curved top chord and a straight bottom chord, once common in large-span roof construction but prone to sudden failure under high heat.",,,iqarius_excel | AI Generated,True,,structural|fdny|fire-safety|roof,,,,,,These roofs can be very dangerous during a fire because they can collapse suddenly without warning.,,,,2026-01-25 23:51:52
bsa,BSA,The Board of Standards and Appeals - the city agency that can grant 'exceptions' to zoning rules.,A New York City agency with the authority to grant variances from the Zoning Resolution and to hear appeals of determinations made by the Department of Buildings.,,,iqarius_excel | AI Generated,True,,variance|zoning|dcp|appeal,,,,https://www.instagram.com/unravelcodes/,,"If a property owner can't follow zoning rules because of unique problems with their land, the BSA can help them get a variance.",,,,2026-01-25 23:51:52
builders-pavement-plan,Builders Pavement Plan,A plan that shows how a builder will fix or build the sidewalks and curbs around a new building.,"A submission to the NYC Department of Transportation (DOT) and Department of Buildings (DOB) detailing the design and construction of sidewalks, curbs, and other public right-of-way improvements.",,DOB,iqarius_excel | AI Generated,True,,dot|sidewalk|curb|permit,,,,https://www.instagram.com/unravelcodes/,,"Ensures that new construction leaves the public sidewalks safe, level, and properly drained.",,,,2026-01-25 23:51:52
building-envelope,Building Envelope,"The 'skin' of a building that keeps the weather out, including the walls, roof, windows, and doors.","The physical separator between the conditioned and unconditioned environment of a building, including the resistance to air, water, heat, light, and noise transfer.",,,iqarius_excel | AI Generated,True,,facade|roof|energy-efficiency|insulation,,,,https://www.instagram.com/unravelcodes/,,"A good envelope keeps the building energy-efficient, dry, and comfortable.",,,,2026-01-25 23:51:52
building-identification-number,Building Identification number,A unique 7-digit number given to every building in New York City (like a social security number for buildings).,"A unique seven-digit identifier assigned to every building in NYC, used for tracking all Department of Buildings records and filings.",,,iqarius_excel | AI Generated,True,,bin|dob|bis|property,,,,,,"It is the best way to look up a building's history, permits, and violations in the city's database.",,,,2026-01-25 23:51:52
canopy,Canopy,A permanent roof-like structure made of metal or glass that covers an entrance or walkway.,"A fixed shelter or covering extending over a doorway or window, often constructed of rigid materials and requiring specific permits from the Department of Transportation.",,,iqarius_excel | AI Generated,True,,awning|dot|entrance|sidewalk,,,,https://www.instagram.com/unravelcodes/,,Canopies provide protection from rain and snow but require DOT permits because they hang over public sidewalks.,,,,2026-01-25 23:51:52
carport,Carport,An outdoor parking space for a car that has a roof but no walls (unlike a garage).,"An open-sided automobile shelter, usually formed by an extension of a roof from the side of a building or a freestanding roofed structure.",,,iqarius_excel | AI Generated,True,,garage|parking|zoning|residential,,,,,,They are cheaper than garages but still need to follow zoning and fire safety rules to prevent fire spread between houses.,,,,2026-01-25 23:51:52
certificate-of-corrections,Certificate of corrections,The official form you send to the city to prove that you fixed a building violation.,The formal documentation submitted to the Department of Buildings to certify that the conditions cited in a violation have been remediated.,,,iqarius_excel | AI Generated,True,,violation|penalty|failure-to-comply|coc,,,,https://www.instagram.com/unravelcodes/,,Just fixing the problem isn't enough; you must file this form to stop the fines from growing.,,,,2026-01-25 23:51:52
closeout-phase,Closeout phase,The final part of a construction project where all paperwork is finished and the final inspections are done.,The final stage of a project involving the completion of all administrative and technical requirements to obtain a Letter of Completion or Certificate of Occupancy.,,,iqarius_excel | AI Generated,True,,final-review|certificate-of-occupancy|permit|sign-off,,,,,,"This is when you get your final Certificate of Occupancy, allowing you to legally use or sell the building.",,,,2026-01-25 23:51:52
code-compliant,code compliant,When a building or design follows all the safety and construction laws perfectly.,"Meeting all the requirements of the NYC Building Code, Fire Code, and other applicable local regulations.",,,iqarius_excel | AI Generated,True,,building-code|zoning|permit|inspection,,,,https://www.instagram.com/unravelcodes/,,Ensures the building is safe for people to live in and avoids costly fines or stop-work orders.,,,,2026-01-25 23:51:52
commercial,Commercial,"Describes a building or area used for business, like offices, stores, or restaurants.","A property classification used for businesses and industries, as opposed to residential or industrial use.",,,iqarius_excel | AI Generated,True,,residential|zoning|mixed-use|business,,,,https://www.instagram.com/unravelcodes/,,"Commercial buildings have different rules for taxes, zoning, and safety than residential houses.",,,,2026-01-25 23:51:52
commissioning,Commissioning,A high-tech test to make sure a building's systems (like heating and cooling) are working as efficiently as the designers promised.,"A quality-focused process for enhancing the delivery of a project by verifying and documenting that the facility and all of its systems and assemblies are planned, designed, installed, tested, operated, and maintained to meet the owner's project requirements.",,,iqarius_excel | AI Generated,True,,hvac|mechanical-systems|energy-efficiency|leed,,,,https://www.instagram.com/unravelcodes/,,Saves energy costs and ensures that complex building systems are actually doing their job correctly.,,,,2026-01-25 23:51:52
compactor-room,Compactor Room,A small room in larger buildings where trash is crushed before being picked up.,"A dedicated space within a building for the collection and mechanical compaction of refuse, subject to specific health and fire code requirements.",,,iqarius_excel | AI Generated,True,,trash|garbage|fire-safety|residential,,,,,,These rooms must have special fire sprinklers and ventilation because they are high fire risks and can smell.,,,,2026-01-25 23:51:52
construction,CONSTRUCTION,"The process of building, repairing, or changing any part of a building.","The act or process of building, altering, or repairing a structure, typically requiring a sequence of permits, inspections, and approvals.",,,iqarius_excel | AI Generated,True,,contractor|permit|renovation|new-building,,What is Construction? - YouTube,What Is Construction? [Different Types & Importance] | Go Construct,https://www.instagram.com/unravelcodes/,,Construction is the foundation of city growth but must be carefully managed to keep workers and neighbors safe.,,,,2026-01-25 23:51:53
construction-documents,Construction Documents,The final blueprints and instructions used by builders to actually construct a project.,The detailed drawings and specifications created by architects or engineers that form the basis for building permit applications and construction contracts.,,,iqarius_excel | AI Generated,True,,architect|engineer|filing|plans,,,,,,The city reviews these documents to make sure the building will be safe and follow all laws.,,,,2026-01-25 23:51:53
construction-fence,Construction Fence,The temporary wall (often made of wood) built around a construction site to keep people out and keep them safe.,A temporary structure required around construction or demolition sites to provide security and protect the public from hazards.,,DOB,iqarius_excel | AI Generated,True,,sidewalk-shed|scaffolding|safety|dob,,,,,,Protects the public from falling debris and prevents unauthorized people from entering dangerous areas.,,,,2026-01-25 23:51:53
construction-superintendent,Construction Superintendent,The person in charge of daily work at a construction site who makes sure everything is safe and follows the plans.,A person registered with the Department of Buildings who is responsible for safety and code compliance on a construction site.,,,iqarius_excel | AI Generated,True,,contractor|dob|safety|project-manager,,,,https://www.instagram.com/unravelcodes/,,"They are legally responsible for safety; if someone gets hurt, they are the first person the city looks to.",,,,2026-01-25 23:51:53
consultant,Consultant,"An expert hired to give advice on tricky parts of a project, like zoning, energy, or historical preservation.","A professional provider of specialized advice or services related to the construction, legal, or financial aspects of property development.",,,iqarius_excel | AI Generated,True,,expeditor|architect|engineer|expert,,,,https://www.instagram.com/unravelcodes/,,Helps owners navigate complex city rules and find ways to save time and money.,,,,2026-01-25 23:51:53
conversion,Conversion,"When a building's use is changed, like turning an old factory into apartments.",A change in the use or occupancy of a building or a portion thereof from one classification to another.,,,iqarius_excel | AI Generated,True,,alteration|zoning|residential|commercial,,,,https://www.instagram.com/unravelcodes/,,Conversions usually require a new Certificate of Occupancy and must meet strict new safety rules.,,,,2026-01-25 23:51:53
cost-affidavit,Cost Affidavit,A signed document telling the city exactly how much a construction project costs.,"A formal statement of the estimated or actual cost of a project, used by the Department of Buildings to determine filing fees.",,,iqarius_excel | AI Generated,True,,permit|filing|finance|fee,,,,,,The city uses this number to calculate how much you have to pay for your building permits.,,,,2026-01-25 23:51:53
curb-cut,Curb Cut,A break in the sidewalk curb that allows cars to drive over the sidewalk into a driveway.,"A dip in the sidewalk and curb allowing vehicular access to a property, requiring approval from both the DOT and DOB.",,,iqarius_excel | AI Generated,True,,driveway|dot|sidewalk|permit,,,,,,Needs a special permit because it removes a parking spot from the street and can be dangerous for pedestrians.,,,,2026-01-25 23:51:53
curb-level,Curb Level,The official height of the sidewalk curb in front of a building.,"The elevation of the street curb at the center of the front of a building, used as a reference point for building height and bulk measurements.",,,iqarius_excel | AI Generated,True,,zoning|lot|grade|height,,,,https://www.instagram.com/unravelcodes/,,Architects use this level to measure how tall a building is allowed to be under zoning rules.,,,,2026-01-25 23:51:53
damage-assessment,Damage Assessment,"A check-up by the city to see how badly a building was damaged after a fire, storm, or accident.",The evaluation of structural integrity and safety following an incident to determine if a building can remain occupied.,,,iqarius_excel | AI Generated,True,,emergency-declaration|inspection|unsafe-building|dob,,,,,,Determines if a building is safe to enter or if people need to be evacuated immediately.,,,,2026-01-25 23:51:53
dcp,DCP,The Department of City Planning - the agency that writes the zoning rules for the whole city.,"The New York City agency responsible for the city's physical and socioeconomic planning, including the maintenance of the Zoning Resolution.",,,iqarius_excel | AI Generated,True,,zoning|land-use|city-planning|zoning-resolution,,,,,,They decide which neighborhoods can have big apartment buildings and which should stay small houses.,,,,2026-01-25 23:51:53
debris,Debris,The trash and waste left over from construction or demolition work.,"Waste materials resulting from construction, remodeling, or demolition activities.",,,iqarius_excel | AI Generated,True,,demolition|waste|safety|cleanup,,,,https://www.instagram.com/unravelcodes/,,Must be cleaned up and hauled away correctly to prevent fires and keep neighbors safe.,,,,2026-01-25 23:51:53
deck,Deck,"An outdoor platform, usually made of wood or plastic, where people can sit and relax.","A floor-like platform, typically elevated and attached to a building, subject to structural and zoning regulations.",,,iqarius_excel | AI Generated,True,,residential|zoning|permit|construction,,,,https://www.instagram.com/unravelcodes/,,Decks need permits if they are above a certain size or height to make sure they won't collapse or catch fire easily.,,,,2026-01-25 23:51:53
demolition,DEMOLITION,The process of tearing down a building or a part of it.,"The complete or partial removal of a structure, requiring specialized permits and adherence to rigorous safety standards.",,DOB,iqarius_excel | AI Generated,True,,permit|debris|safety|contractor,,,,https://www.instagram.com/unravelcodes/,,"Extremely dangerous work that needs special permits, safety fences, and dust control to protect neighbors.",,,,2026-01-25 23:51:53
design-development,Design Development,The stage of a project where architects turn a rough idea into a detailed plan.,"The phase in which the project design is refined, selecting materials and finalizing systems before creating construction documents.",,,iqarius_excel | AI Generated,True,,architect|schematic-design|plans|construction-documents,,,,,,This is when the owner decides on materials and layouts before the final blueprints are drawn.,,,,2026-01-25 23:51:53
directive-14-of-1975,Directive 14 of 1975,A rule that allows architects and engineers to do their own final inspections instead of waiting for a city inspector.,A DOB regulation allowing licensed professionals to certify that a completed project complies with approved plans.,,,iqarius_excel | AI Generated,True,,inspection|prof-cert|architect|engineer,,,,,,"Saves weeks or months of waiting time, helping projects get finished faster.",,,,2026-01-25 23:51:53
dobnow,DOBNOW,The Department of Buildings' new online system for all construction filings.,"The modernized, web-based portal used by the NYC Department of Buildings for permit applications, inspections, and public records.",,,iqarius_excel | AI Generated,True,,dob|bis|efiling|permit,,,,https://www.instagram.com/unravelcodes/,,Property owners and architects use this website to submit almost all paperwork to the city today.,,,,2026-01-25 23:51:53
draftsperson,draftsperson,A person who creates technical drawings and blueprints for buildings.,An individual skilled in technical drawing who assists in the creation of architectural and engineering plans.,,,iqarius_excel | AI Generated,True,,architect|engineer|plans|construction-documents,,,,https://www.instagram.com/unravelcodes/,,They help architects and engineers put their ideas onto paper so that builders can understand them.,,,,2026-01-25 23:51:53
driveway,Driveway,A private road that leads from the street to a house or garage.,"A private access way for vehicles, connecting a property to the public street, subject to specific dimensional and surfacing rules.",,,iqarius_excel | AI Generated,True,,curb-cut|zoning|residential|parking,,,,https://www.instagram.com/unravelcodes/,,Driveways must follow zoning rules so they don't block sidewalks or take up too much yard space.,,,,2026-01-25 23:51:53
dwelling,dwelling,Any building or part of a building where people live.,"A structure or portion thereof which is occupied in whole or in part as the home, residence, or sleeping place of one or more persons.",,,iqarius_excel | AI Generated,True,,residential|apartment-building|dwelling-units|mdl,,,,https://www.instagram.com/unravelcodes/,,"Dwellings have much stricter rules for light, air, and fire safety than office buildings.",,,,2026-01-25 23:51:53
dwelling-units,Dwelling Units,The number of separate apartments or houses in a building.,"A single unit providing complete, independent living facilities for one or more persons, including permanent provisions for living, sleeping, eating, cooking, and sanitation.",,,iqarius_excel | AI Generated,True,,dwelling|residential|apartment-building|zoning,,,,https://www.instagram.com/unravelcodes/,,Adding more units often requires a new Certificate of Occupancy and can trigger major new safety rules.,,,,2026-01-25 23:51:53
easement,Easement,A legal right for someone else to use a part of your land for a specific reason (like a utility company having a pipe under your yard).,A right to cross or otherwise use someone else's land for a specified purpose.,,,iqarius_excel | AI Generated,True,,property|legal|zoning|encroachment,,,,https://www.instagram.com/unravelcodes/,,"You can't build anything permanent on an easement, which might limit where you can put an extension or a fence.",,,,2026-01-25 23:51:53
egress,Egress,"A safe way to get out of a building, especially during an emergency like a fire.",A continuous and unobstructed way of exit travel from any point in a building or structure to a public way.,,,iqarius_excel | AI Generated,True,,fire-safety|exit|stairwell|emergency,,,,https://www.instagram.com/unravelcodes/,,Every room where someone sleeps must have a safe 'way out' (like a window or door) to save lives during a fire.,,,,2026-01-25 23:51:53
electrical,Electrical,"The system of wires, outlets, and lights that provides power to a building.","The installation, maintenance, and repair of electrical wiring, equipment, and fixtures in a building.",,,iqarius_excel | AI Generated,True,,master-electrician|permit|mechanical-systems|safety,,,,https://www.instagram.com/unravelcodes/,,Faulty wiring is a leading cause of house fires; all electrical work must be done by a licensed pro and checked by the city.,,,,2026-01-25 23:51:53
elevator,Elevator,The machine that carries people up and down between floors in a building.,"A type of vertical transportation machine that moves people or goods between floors, levels, or decks of a building.",,,iqarius_excel | AI Generated,True,,annual-inspection|mechanical-systems|accessibility|safety,,,,,,Elevators must be inspected every year because a breakdown can trap people or cause serious injury.,,,,2026-01-25 23:51:53
emergency-declaration,Emergency Declaration,When the city says a building is so dangerous that it must be fixed or evacuated immediately.,An official determination by the Commissioner of Buildings that a building condition is imminently perilous to life or property.,,,iqarius_excel | AI Generated,True,,unsafe-building|vacate-order|dob|safety,,,,,,Protects lives when a building is at risk of falling down or has a major gas leak.,,,,2026-01-25 23:51:53
emergency-power-supply-systems,Emergency Power Supply Systems,Back-up power (like a generator) that keeps lights and elevators working when the main electricity goes out.,An independent source of electrical power which supports important electrical systems on loss of normal power supply.,,,iqarius_excel | AI Generated,True,,electrical|mechanical-systems|generator|safety,,,,,,Crucial for high-rise buildings so people can get out safely during a blackout.,,,,2026-01-25 23:51:53
encroachment,Encroachment,When a building or structure (like a fence or a stoop) sticks out into someone else's land or onto the public sidewalk.,An unauthorized intrusion or extension of a structure or improvement onto an adjoining property or public right-of-way.,,,iqarius_excel | AI Generated,True,,property|legal|easement|revocable-consent,,,,https://www.instagram.com/unravelcodes/,,Illegal encroachments can lead to lawsuits between neighbors or fines from the city for blocking the sidewalk.,,,,2026-01-25 23:51:53
enforcement,Enforcement,"The city's way of making sure people follow building laws, often by issuing fines or stop-work orders.","The process of ensuring compliance with laws, regulations, and codes through inspections, citations, and legal actions.",,,iqarius_excel | AI Generated,True,,violation|penalty|swo|dob,,,,https://www.instagram.com/unravelcodes/,,"Ensures that everyone builds safely and fairly, protecting the whole neighborhood.",,,,2026-01-25 23:51:53
equipment-use-permit,Equipment use permit,"A special permission from the city to use a specific machine in a building, like a large boiler or an air conditioner.",An authorization issued by the Department of Buildings for the operation of certain service equipment.,,,iqarius_excel | AI Generated,True,,permit|mechanical-systems|boiler|hvac,,,,https://www.instagram.com/unravelcodes/,,Ensures that powerful machines are installed correctly so they don't explode or cause fires.,,,,2026-01-25 23:51:53
excavation,Excavation,Digging deep holes in the ground to prepare for a new building foundation.,"The removal of soil or rock from a site to form a cavity or hole, typically for the construction of foundations.",,,iqarius_excel | AI Generated,True,,foundation|underpinning|safety|structural-monitoring,,,,https://www.instagram.com/unravelcodes/,,"The most dangerous part of construction; if done wrong, it can make the buildings next door collapse.",,,,2026-01-25 23:51:53
façade,Façade,The front or outside 'face' of a building.,"The exterior face of a building, including walls, windows, and decorative elements.",,,iqarius_excel | AI Generated,True,,fisp|local-law-11|qewi|maintenance,,,,,,NYC has a law (Local Law 11) that requires old buildings to have their facades checked so bricks don't fall on people walking below.,,,,2026-01-25 23:51:53
filing-application,Filing application,The formal paperwork you send to the Department of Buildings to get a construction permit.,The initial submission of project details and construction documents to the Department of Buildings for review.,,,iqarius_excel | AI Generated,True,,permit|dobnow|applicant-of-record|expeditor,,,,,,"The first step in any legal construction project; without it, the work is illegal.",,,,2026-01-25 23:51:53
fire-suppression-system,Fire suppression system,"Automatic systems, like sprinklers, that put out fires without human help.",An engineered set of components designed to detect and extinguish or control fires automatically.,,,iqarius_excel | AI Generated,True,,sprinklers|fdny|fire-safety|mechanical-systems,,,,,,These systems save lives and protect property by stopping fires while they are still small.,,,,2026-01-25 23:51:53
front-end-planning,Front End Planning,The very early stage of a project where you figure out if what you want to build is possible and how much it will cost.,The process of developing sufficient information for owners to address risks and make decisions to commit resources to a project.,,,iqarius_excel | AI Generated,True,,design-development|feasibility|consultant|architect,,,,https://www.instagram.com/unravelcodes/,,Good planning at the start prevents expensive surprises and mistakes later on.,,,,2026-01-25 23:51:53
gas-piping,Gas Piping,The system of pipes that carries natural gas for cooking and heating.,The installation and maintenance of pipes and fittings used to convey natural gas from the meter to appliances.,,,iqarius_excel | AI Generated,True,,master-plumber|lmp|mechanical-systems|safety,,,,,,Gas leaks are extremely dangerous; all gas work must be tested and approved by both the city and the utility company.,,,,2026-01-25 23:51:53
green-roof,Green Roof,A roof that is partially or completely covered with plants.,"A layer of vegetation grown on a rooftop, providing environmental benefits such as reduced urban heat island effect and improved insulation.",,,iqarius_excel | AI Generated,True,,sustainable|energy-efficiency|stormwater|leed,,,,https://www.instagram.com/unravelcodes/,,"They help cool the building, absorb rainwater to prevent flooding, and make the city look better.",,,,2026-01-25 23:51:53
guard-rail,Guard Rail,"A safety rail or fence built near the edge of a roof, stairs, or balcony to keep people from falling.",A railing system designed to prevent people or objects from falling from a higher level to a lower level.,,,iqarius_excel | AI Generated,True,,safety|egress|construction|deck,,,,,,Must be exactly the right height and strength to prevent accidental falls and comply with safety codes.,,,,2026-01-25 23:51:53
hoist,Hoist,A powerful machine or elevator used to lift heavy materials and workers up to high floors during construction.,A mechanical device used for lifting or lowering a load by means of a drum or lift-wheel around which rope or chain wraps.,,,iqarius_excel | AI Generated,True,,construction|elevator|safety|machinery,,,,,,Needs regular safety checks because a failure can drop thousands of pounds of material.,,,,2026-01-25 23:51:53
immediate-emergency-declaration,Immediate Emergency Declaration,A high-priority order from the city to fix a building problem that could kill someone right now.,A formal order issued when a building condition is determined to be an immediate danger to public safety.,,,iqarius_excel | AI Generated,True,,emergency-declaration|unsafe-building|dob|safety,,,,,,Allows the city to hire its own contractors to fix the problem immediately if the owner refuses.,,,,2026-01-25 23:51:53
landmark,Landmark,A building or area that is officially protected because it is historic or beautiful.,"A building, structure, or site that is officially recognized by the city for its historical, architectural, or cultural significance.",,,iqarius_excel | AI Generated,True,,historic-preservation|lpc|zoning|facade,,,,https://www.instagram.com/unravelcodes/,,You need special permission (from the Landmarks Preservation Commission) to change anything on the outside of a landmarked building.,,,,2026-01-25 23:51:53
launch-box,Launch box,A special pit or area where a tunnel-boring machine starts digging.,An excavation created to initiate the drive of a tunnel-boring machine.,,,iqarius_excel | AI Generated,True,,excavation|infrastructure|tunneling,,,,https://www.instagram.com/unravelcodes/,,Requires major excavation and safety plans to prevent the street above from sinking.,,,,2026-01-25 23:51:53
letter-of-no-objection,Letter of no objection,A document from the city saying they have no problem with a building being used for a specific purpose (even if there is no official certificate).,"An official letter from the DOB confirming that the current use of a building is legal based on historical records, even without a modern Certificate of Occupancy.",,,iqarius_excel | AI Generated,True,,certificate-of-occupancy|zoning|lno|dob,,,,,,Useful for older buildings that were built before certificates of occupancy were even invented.,,,,2026-01-25 23:51:53
light-and-air,Light and air,Rules that say every bedroom must have a window that lets in natural light and fresh air.,"Minimum legal requirements for natural illumination and ventilation in habitable rooms, as defined by the NYC Building Code and Multiple Dwelling Law.",,,iqarius_excel | AI Generated,True,,dwelling|zoning|habitable-space|window,,,,,,"Prevents the creation of dark, windowless 'closet' bedrooms that are unhealthy and illegal.",,,,2026-01-25 23:51:53
lintel,lintel,The horizontal support beam above a window or door opening.,"A horizontal structural member that spans an opening between two vertical supports, such as a door or window.",,,iqarius_excel | AI Generated,True,,structural|facade|masonry|repair,,,,https://www.instagram.com/unravelcodes/,,"If lintels get rusty and weak, they can break and cause the bricks above them to fall onto the sidewalk.",,,,2026-01-25 23:51:53
ll-79-16,LL 79/16,,,,,iqarius_excel,True,,,,,,,,,,,,2026-01-25 23:51:53
ll11-98,LL11/98,,,,,iqarius_excel,True,,,,,,,,,,,,2026-01-25 23:51:53
local-law-xx-xx,Local law xx/xx,,,,,iqarius_excel,True,,,,,,,,,,,,2026-01-25 23:51:53
