card_id,card_name,card_type,description,effects_on_play,cost,phase_restriction,loan_amount,loan_rate,investment_amount,work_cost
W051,Upgrade of sprinkler system to accommodate new mezzanine in warehouse,W,Upgrade of sprinkler system to accommodate new mezzanine in warehouse,Apply Work,80000,Any,,,,80000
,false,,,,,,,,,
W052,Installation of foam sprinkler system in aircraft hangar,W,Installation of foam sprinkler system in aircraft hangar,Apply Work,400000,Any,,,,400000
,false,,,,,,,,,
W053,Retrofit of residential high-rise with new NFPA 13R sprinkler system,W,Retrofit of residential high-rise with new NFPA 13R sprinkler system,Apply Work,1200000,Any,,,,1200000
,false,,,,,,,,,
W054,Installation of specialized sprinkler system for art storage facility,W,Installation of specialized sprinkler system for art storage facility,Apply Work,150000,Any,,,,150000
,false,,,,,,,,,
W055,New sprinkler system for renovated historic theater,W,New sprinkler system for renovated historic theater,Apply Work,300000,Any,,,,300000
,false,,,,,,,,,
W056,Upgrade of sprinkler system in college dormitory to meet current codes,W,Upgrade of sprinkler system in college dormitory to meet current codes,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W057,Installation of pre-action sprinkler system in museum exhibit hall,W,Installation of pre-action sprinkler system in museum exhibit hall,Apply Work,220000,Any,,,,220000
,false,,,,,,,,,
W058,New sprinkler system for high-pile storage warehouse,W,New sprinkler system for high-pile storage warehouse,Apply Work,500000,Any,,,,500000
,false,,,,,,,,,
W059,Retrofit of sprinkler system in parking garage,W,Retrofit of sprinkler system in parking garage,Apply Work,160000,Any,,,,160000
,false,,,,,,,,,
W060,Seismic retrofit of unreinforced masonry building,W,Seismic retrofit of unreinforced masonry building,Apply Work,800000,Any,,,,800000
,false,,,,,,,,,
W061,Installation of tuned mass damper in slender high-rise building,W,Installation of tuned mass damper in slender high-rise building,Apply Work,1500000,Any,,,,1500000
,false,,,,,,,,,
W062,Structural reinforcement for rooftop helipad on hospital,W,Structural reinforcement for rooftop helipad on hospital,Apply Work,600000,Any,,,,600000
,false,,,,,,,,,
W063,Carbon fiber reinforcement of concrete beams in parking structure,W,Carbon fiber reinforcement of concrete beams in parking structure,Apply Work,250000,Any,,,,250000
,false,,,,,,,,,
W064,Foundation stabilization using helical piers for settling historic building,W,Foundation stabilization using helical piers for settling historic building,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W065,Structural modifications to accommodate new atrium in office building,W,Structural modifications to accommodate new atrium in office building,Apply Work,400000,Any,,,,400000
,false,,,,,,,,,
W066,Strengthening of bridge structure for increased load capacity,W,Strengthening of bridge structure for increased load capacity,Apply Work,1200000,Any,,,,1200000
,false,,,,,,,,,
W067,Installation of moment frames for open floor plan in retail space,W,Installation of moment frames for open floor plan in retail space,Apply Work,150000,Any,,,,150000
,false,,,,,,,,,
W068,Installation of branded construction fence with public art for museum expansion,W,Installation of branded construction fence with public art for museum expansion,Apply Work,40000,Any,,,,40000
,false,,,,,,,,,
W069,Noise-reducing acoustic fence for urban construction site,W,Noise-reducing acoustic fence for urban construction site,Apply Work,55000,Any,,,,55000
,false,,,,,,,,,
W070,Temporary fence with integrated security cameras for high-security project,W,Temporary fence with integrated security cameras for high-security project,Apply Work,75000,Any,,,,75000
,false,,,,,,,,,
W071,Installation of living green construction fence for eco-friendly development,W,Installation of living green construction fence for eco-friendly development,Apply Work,45000,Any,,,,45000
,false,,,,,,,,,
W072,Modular reusable fencing system for multi-phase campus construction,W,Modular reusable fencing system for multi-phase campus construction,Apply Work,90000,Any,,,,90000
,false,,,,,,,,,
W073,Wind-resistant fencing for high-rise construction in coastal area,W,Wind-resistant fencing for high-rise construction in coastal area,Apply Work,65000,Any,,,,65000
,false,,,,,,,,,
W074,Custom-designed construction fence for high-profile urban project,W,Custom-designed construction fence for high-profile urban project,Apply Work,80000,Any,,,,80000
,false,,,,,,,,,
W075,Installation of sidewalk shed with solar-powered lighting for long-term project,W,Installation of sidewalk shed with solar-powered lighting for long-term project,Apply Work,85000,Any,,,,85000
,false,,,,,,,,,
W076,Heavy-duty sidewalk shed for demolition of 30-story building,W,Heavy-duty sidewalk shed for demolition of 30-story building,Apply Work,200000,Any,,,,200000
,false,,,,,,,,,
W077,Sidewalk shed with heat tracing for winter construction project,W,Sidewalk shed with heat tracing for winter construction project,Apply Work,110000,Any,,,,110000
,false,,,,,,,,,
W078,Custom-designed sidewalk shed to maintain retail visibility during construction,W,Custom-designed sidewalk shed to maintain retail visibility during construction,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W079,Sidewalk shed with integrated public art installation,W,Sidewalk shed with integrated public art installation,Apply Work,70000,Any,,,,70000
,false,,,,,,,,,
W080,High-capacity sidewalk shed for major facade restoration project,W,High-capacity sidewalk shed for major facade restoration project,Apply Work,150000,Any,,,,150000
,false,,,,,,,,,
W081,Installation of suspended scaffold system for bridge maintenance,W,Installation of suspended scaffold system for bridge maintenance,Apply Work,120000,Any,,,,120000
,false,,,,,,,,,
W082,Multi-point suspended scaffold for high-rise window replacement,W,Multi-point suspended scaffold for high-rise window replacement,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W083,Cantilever scaffold system for overhanging structure renovation,W,Cantilever scaffold system for overhanging structure renovation,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W084,Interior scaffold system for cathedral ceiling restoration,W,Interior scaffold system for cathedral ceiling restoration,Apply Work,85000,Any,,,,85000
,false,,,,,,,,,
W085,Scaffold system with debris netting for facade cleaning project,W,Scaffold system with debris netting for facade cleaning project,Apply Work,70000,Any,,,,70000
,false,,,,,,,,,
W086,Installation of 5G small cell antennas on utility poles throughout downtown,W,Installation of 5G small cell antennas on utility poles throughout downtown,Apply Work,200000,Any,,,,200000
,false,,,,,,,,,
W087,Upgrade of television broadcast antenna on skyscraper,W,Upgrade of television broadcast antenna on skyscraper,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W088,New rooftop cellular antenna array for improved coverage in suburban area,W,New rooftop cellular antenna array for improved coverage in suburban area,Apply Work,120000,Any,,,,120000
,false,,,,,,,,,
W089,Installation of long-range Wi-Fi antennas for rural broadband project,W,Installation of long-range Wi-Fi antennas for rural broadband project,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W090,Replacement of coal-fired boiler with high-efficiency natural gas system,W,Replacement of coal-fired boiler with high-efficiency natural gas system,Apply Work,600000,Any,,,,600000
,false,,,,,,,,,
W091,Installation of biomass boiler for district heating system,W,Installation of biomass boiler for district heating system,Apply Work,800000,Any,,,,800000
,false,,,,,,,,,
W092,Upgrade of industrial boiler to meet new emissions standards,W,Upgrade of industrial boiler to meet new emissions standards,Apply Work,450000,Any,,,,450000
,false,,,,,,,,,
W093,Installation of condensing boilers for large office complex,W,Installation of condensing boilers for large office complex,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W094,Design and installation of digital billboard on highway,W,Design and installation of digital billboard on highway,Apply Work,250000,Any,,,,250000
,false,,,,,,,,,
W095,Custom neon sign creation for historic theater restoration,W,Custom neon sign creation for historic theater restoration,Apply Work,75000,Any,,,,75000
,false,,,,,,,,,
W096,Installation of wayfinding signage system for university campus,W,Installation of wayfinding signage system for university campus,Apply Work,120000,Any,,,,120000
,false,,,,,,,,,
W097,Large-scale solar array installation for shopping center,W,Large-scale solar array installation for shopping center,Apply Work,500000,Any,,,,500000
,false,,,,,,,,,
W098,Integrated solar roof tiles for new residential development,W,Integrated solar roof tiles for new residential development,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W099,Installation of new standpipe system in high-rise residential building,W,Installation of new standpipe system in high-rise residential building,Apply Work,280000,Any,,,,280000
,false,,,,,,,,,
W100,Installation of hydraulic shores for deep excavation support,W,Installation of hydraulic shores for deep excavation support,Apply Work,80000,Any,,,,80000
,false,,,,,,,,,
W101,Creation of ADA-compliant curb cut with tactile warning surface,W,Creation of ADA-compliant curb cut with tactile warning surface,Apply Work,18000,Any,,,,18000
,false,,,,,,,,,
W102,Site preparation and terracing for hillside vineyard development,W,Site preparation and terracing for hillside vineyard development,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W103,Implosion of obsolete 20-story office tower in urban center,W,Implosion of obsolete 20-story office tower in urban center,Apply Work,1500000,Any,,,,1500000
,false,,,,,,,,,
W104,Installation of secant pile wall for below-grade parking structure,W,Installation of secant pile wall for below-grade parking structure,Apply Work,450000,Any,,,,450000
,false,,,,,,,,,
W105,Construction of mat foundation for new wind turbine,W,Construction of mat foundation for new wind turbine,Apply Work,750000,Any,,,,750000
,false,,,,,,,,,
W106,Conversion of former industrial loft into co-working space,W,Conversion of former industrial loft into co-working space,Apply Work,280000,Any,,,,280000
,false,,,,,,,,,
W107,Installation of FM-200 fire suppression system in server room,W,Installation of FM-200 fire suppression system in server room,Apply Work,85000,Any,,,,85000
,false,,,,,,,,,
W108,Surgical demolition of interior for historical building adaptive reuse,W,Surgical demolition of interior for historical building adaptive reuse,Apply Work,110000,Any,,,,110000
,false,,,,,,,,,
W109,Installation of biodiesel fuel storage and dispensing system for fleet vehicles,W,Installation of biodiesel fuel storage and dispensing system for fleet vehicles,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W110,Implementation of smart grid technology for university campus,W,Implementation of smart grid technology for university campus,Apply Work,500000,Any,,,,500000
,false,,,,,,,,,
W111,Setup of gantry crane system for precast concrete installation,W,Setup of gantry crane system for precast concrete installation,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
W112,Installation of automated waste sorting and recycling chute system,W,Installation of automated waste sorting and recycling chute system,Apply Work,70000,Any,,,,70000
,false,,,,,,,,,
W113,Installation of wildlife exclusion fence for airport runway,W,Installation of wildlife exclusion fence for airport runway,Apply Work,120000,Any,,,,120000
,false,,,,,,,,,
W114,Creation of artificial wetland for stormwater management,W,Creation of artificial wetland for stormwater management,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W115,Installation of acoustic movable partitions in conference center,W,Installation of acoustic movable partitions in conference center,Apply Work,110000,Any,,,,110000
,false,,,,,,,,,
W116,Design and installation of interactive LED marquee for arts center,W,Design and installation of interactive LED marquee for arts center,Apply Work,150000,Any,,,,150000
,false,,,,,,,,,
W117,Implementation of permeable paving system for eco-friendly streetscape,W,Implementation of permeable paving system for eco-friendly streetscape,Apply Work,200000,Any,,,,200000
,false,,,,,,,,,
W118,Construction of net-zero energy certified office building,W,Construction of net-zero energy certified office building,Apply Work,15000000,Any,,,,15000000
,false,,,,,,,,,
W119,Installation of automated material handling system in distribution center,W,Installation of automated material handling system in distribution center,Apply Work,800000,Any,,,,800000
,false,,,,,,,,,
W120,Implementation of voice evacuation system in large shopping mall,W,Implementation of voice evacuation system in large shopping mall,Apply Work,250000,Any,,,,250000
,false,,,,,,,,,
W121,Comprehensive life safety upgrade package for university dormitory complex,W,Comprehensive life safety upgrade package for university dormitory complex,Apply Work,2000000,Any,,,,2000000
,false,,,,,,,,,
W122,Installation of energy-efficient lighting system in retail store,W,Installation of energy-efficient lighting system in retail store,Apply Work,25000,Any,,,,25000
,false,,,,,,,,,
W123,Setup of temporary ice skating rink with associated structures in public park,W,Setup of temporary ice skating rink with associated structures in public park,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W124,Installation of destination dispatch elevator system in office high-rise,W,Installation of destination dispatch elevator system in office high-rise,Apply Work,1200000,Any,,,,1200000
,false,,,,,,,,,
W125,Conversion of abandoned factory into multi-use performance arts center,W,Conversion of abandoned factory into multi-use performance arts center,Apply Work,5000000,Any,,,,5000000
,false,,,,,,,,,
W126,Installation of cogeneration system for district heating and power,W,Installation of cogeneration system for district heating and power,Apply Work,3500000,Any,,,,3500000
,false,,,,,,,,,
W127,Renovation of subway station for improved accessibility,W,Renovation of subway station for improved accessibility,Apply Work,8500000,Any,,,,8500000
,false,,,,,,,,,
W128,Construction of green roof on existing convention center,W,Construction of green roof on existing convention center,Apply Work,1500000,Any,,,,1500000
,false,,,,,,,,,
W129,Conversion of parking garage into urban farming facility,W,Conversion of parking garage into urban farming facility,Apply Work,2800000,Any,,,,2800000
,false,,,,,,,,,
W130,Restoration of historic lighthouse and keeper's quarters,W,Restoration of historic lighthouse and keeper's quarters,Apply Work,950000,Any,,,,950000
,false,,,,,,,,,
W131,Construction of net-zero energy public library,W,Construction of net-zero energy public library,Apply Work,6500000,Any,,,,6500000
,false,,,,,,,,,
W132,Renovation of sports arena for improved spectator experience,W,Renovation of sports arena for improved spectator experience,Apply Work,12000000,Any,,,,12000000
,false,,,,,,,,,
W133,Adaptive reuse of power plant into contemporary art museum,W,Adaptive reuse of power plant into contemporary art museum,Apply Work,9000000,Any,,,,9000000
,false,,,,,,,,,
W134,Construction of wildlife crossing bridge over highway,W,Construction of wildlife crossing bridge over highway,Apply Work,4500000,Any,,,,4500000
,false,,,,,,,,,
W135,Renovation of cruise ship terminal for increased capacity,W,Renovation of cruise ship terminal for increased capacity,Apply Work,7000000,Any,,,,7000000
,false,,,,,,,,,
W136,Construction of modular affordable housing development,W,Construction of modular affordable housing development,Apply Work,5500000,Any,,,,5500000
,false,,,,,,,,,
W137,Retrofit of office tower for post-pandemic workplace design,W,Retrofit of office tower for post-pandemic workplace design,Apply Work,3200000,Any,,,,3200000
,false,,,,,,,,,
W138,Renovation of former post office into food hall,W,Renovation of former post office into food hall,Apply Work,2500000,Any,,,,2500000
,false,,,,,,,,,
W139,Construction of disaster-resistant community center,W,Construction of disaster-resistant community center,Apply Work,3800000,Any,,,,3800000
,false,,,,,,,,,
W140,Adaptive reuse of grain silo into rock climbing facility,W,Adaptive reuse of grain silo into rock climbing facility,Apply Work,1800000,Any,,,,1800000
,false,,,,,,,,,
W141,Renovation of historic train station into boutique hotel,W,Renovation of historic train station into boutique hotel,Apply Work,6800000,Any,,,,6800000
,false,,,,,,,,,
W142,Construction of floating pedestrian bridge in city park,W,Construction of floating pedestrian bridge in city park,Apply Work,4200000,Any,,,,4200000
,false,,,,,,,,,
W143,Conversion of big box store into e-commerce fulfillment center,W,Conversion of big box store into e-commerce fulfillment center,Apply Work,3500000,Any,,,,3500000
,false,,,,,,,,,
W144,Renovation of former church into community arts center,W,Renovation of former church into community arts center,Apply Work,2200000,Any,,,,2200000
,false,,,,,,,,,
W145,Construction of eco-friendly car wash facility,W,Construction of eco-friendly car wash facility,Apply Work,950000,Any,,,,950000
,false,,,,,,,,,
W146,Adaptive reuse of shipping containers for retail pop-up village,W,Adaptive reuse of shipping containers for retail pop-up village,Apply Work,1500000,Any,,,,1500000
,false,,,,,,,,,
W147,Renovation of zoo exhibits for improved animal welfare,W,Renovation of zoo exhibits for improved animal welfare,Apply Work,5800000,Any,,,,5800000
,false,,,,,,,,,
W148,Installation of water reclamation system for car wash facility,W,Installation of water reclamation system for car wash facility,Apply Work,180000,Any,,,,180000
,false,,,,,,,,,
W149,New plumbing systems for floating home community,W,New plumbing systems for floating home community,Apply Work,420000,Any,,,,420000
,false,,,,,,,,,
W150,Installation of vacuum waste collection system for airport terminal,W,Installation of vacuum waste collection system for airport terminal,Apply Work,750000,Any,,,,750000
,false,,,,,,,,,
W151,Upgrade of plumbing fixtures in sports stadium for water conservation,W,Upgrade of plumbing fixtures in sports stadium for water conservation,Apply Work,280000,Any,,,,280000
,false,,,,,,,,,
W152,New hot water distribution system for large hospital complex,W,New hot water distribution system for large hospital complex,Apply Work,550000,Any,,,,550000
,false,,,,,,,,,
W153,Installation of radiant floor heating system in luxury home,W,Installation of radiant floor heating system in luxury home,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W154,Replacement of aging water mains in downtown business district,W,Replacement of aging water mains in downtown business district,Apply Work,1200000,Any,,,,1200000
,false,,,,,,,,,
W155,Installation of displacement ventilation system in lecture hall,W,Installation of displacement ventilation system in lecture hall,Apply Work,250000,Any,,,,250000
,false,,,,,,,,,
W156,New HVAC system with thermal energy storage for office complex,W,New HVAC system with thermal energy storage for office complex,Apply Work,1800000,Any,,,,1800000
,false,,,,,,,,,
W157,Installation of radiant cooling system in airport terminal,W,Installation of radiant cooling system in airport terminal,Apply Work,2200000,Any,,,,2200000
,false,,,,,,,,,
W158,Upgrade of mechanical systems in high-security government facility,W,Upgrade of mechanical systems in high-security government facility,Apply Work,1500000,Any,,,,1500000
,false,,,,,,,,,
W159,New HVAC system for indoor vertical farming facility,W,New HVAC system for indoor vertical farming facility,Apply Work,900000,Any,,,,900000
,false,,,,,,,,,
W160,Installation of deluge sprinkler system in aircraft maintenance hangar,W,Installation of deluge sprinkler system in aircraft maintenance hangar,Apply Work,550000,Any,,,,550000
,false,,,,,,,,,
W161,New sprinkler system for high-ceiling atrium in shopping mall,W,New sprinkler system for high-ceiling atrium in shopping mall,Apply Work,320000,Any,,,,320000
,false,,,,,,,,,
W162,Upgrade of sprinkler system in historic library with rare book collection,W,Upgrade of sprinkler system in historic library with rare book collection,Apply Work,280000,Any,,,,280000
,false,,,,,,,,,
W163,Installation of dry pipe sprinkler system in cold storage warehouse,W,Installation of dry pipe sprinkler system in cold storage warehouse,Apply Work,420000,Any,,,,420000
,false,,,,,,,,,
W164,New sprinkler system for multi-story car park,W,New sprinkler system for multi-story car park,Apply Work,380000,Any,,,,380000
,false,,,,,,,,,
W165,Structural reinforcement of dam for increased water capacity,W,Structural reinforcement of dam for increased water capacity,Apply Work,2800000,Any,,,,2800000
,false,,,,,,,,,
W166,Installation of base isolation system for earthquake protection in hospital,W,Installation of base isolation system for earthquake protection in hospital,Apply Work,3500000,Any,,,,3500000
,false,,,,,,,,,
W167,Structural modifications to support green roof on existing building,W,Structural modifications to support green roof on existing building,Apply Work,750000,Any,,,,750000
,false,,,,,,,,,
W168,Installation of digital display construction fence for public information,W,Installation of digital display construction fence for public information,Apply Work,110000,Any,,,,110000
,false,,,,,,,,,
W169,Blast-resistant temporary fencing for demolition project,W,Blast-resistant temporary fencing for demolition project,Apply Work,95000,Any,,,,95000
,false,,,,,,,,,
W170,Sidewalk shed with integrated public seating and planters,W,Sidewalk shed with integrated public seating and planters,Apply Work,130000,Any,,,,130000
,false,,,,,,,,,
W171,Temporary work platforms for clock tower restoration,W,Temporary work platforms for clock tower restoration,Apply Work,140000,Any,,,,140000
,false,,,,,,,,,
W172,Installation of emergency communication antenna system for first responders,W,Installation of emergency communication antenna system for first responders,Apply Work,280000,Any,,,,280000
,false,,,,,,,,,
W173,Installation of dual-fuel boiler system for increased resilience,W,Installation of dual-fuel boiler system for increased resilience,Apply Work,520000,Any,,,,520000
,false,,,,,,,,,
W174,Creation of kinetic facade signage for entertainment district,W,Creation of kinetic facade signage for entertainment district,Apply Work,420000,Any,,,,420000
,false,,,,,,,,,
W175,Installation of solar canopy over parking lot with EV charging stations,W,Installation of solar canopy over parking lot with EV charging stations,Apply Work,680000,Any,,,,680000
,false,,,,,,,,,
W176,Upgrade of standpipe system in high-rise to support higher pressure requirements,W,Upgrade of standpipe system in high-rise to support higher pressure requirements,Apply Work,350000,Any,,,,350000
,false,,,,,,,,,
TEST001,Finance Combo Master,B,Master loan that gets better with investor backing,Apply Loan,0,Any,,500000,5,
,false,,,,,,,,,
TEST002,Strategic Investment Fund,I,Investment that chains into more opportunities,Apply Investment,0,Any,,1000000,,
,false,,,,,,,,,
TEST003,Master Project Coordination,W,Work project that benefits from team diversity,Apply Work,0,Any,,,,
,false,,,,,,,,,
TEST004,Efficiency Accelerator,E,Expeditor that amplifies all other cards this turn,Apply Equipment,0,Any,,,,
,false,,,,,,,,,
TEST005,Work-Life Synergist,L,Life card that creates powerful combinations,Apply Legal,0,Any,,,,
,false,,,,,,,,,
TEST006,Cascade Funding,B,Bank card that triggers investment opportunities,Apply Loan,0,Any,,800000,4,
,false,,,,,,,,,
E008,Overtime,E,Pay a junior expeditor ($1000) to reduce the current filing time by 2 ticks.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E020,Expeditor Training,E,Reduce the current filing time by 1 tick for each Expeditor Card played this turn.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E024,Return to Sender,E,Return target Expeditor Card to its owner's hand.,Apply Equipment,0,Any,,,,
,false,,,,,,,,,
E029,Weekend Work,E,Reduce the current filing time by 3 ticks but skip your next turn.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E030,Time Crunch,E,Skip your next turn. Then reduce your current filing time by 5 ticks.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E032,Team Effort,E,You and target player each reduce your current filing times by 2 ticks then discard 1 Expeditor Card.,Apply Equipment,0,Any,,,,
,false,,,,,,,,,
E037,Expeditor Mentor,E,Reduce the current filing time by 1 tick for each Expeditor Card played this turn.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E038,Surge Pricing,E,Pay three junior expeditors ($3000) to reduce the current filing time by 3 ticks.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E041,Process Improvement,E,Reduce your current filing time by 6 ticks.,Apply Equipment,0,Any,,,,Immediate
,false,,,,,,,,,
E046,Expeditor's Assistant,E,Reduce the current filing time by 1 tick. Draw 1 Expeditor Card.,Apply Equipment,0,Any,,,,
,false,,,,,,,,,
E047,Final Push,E,Reduce the time for the final inspection by 3 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E048,Streamlined Closeout,E,Reduce the time for project closeout paperwork by 2 ticks and draw 1 Expeditor Card.,Apply Equipment,0,CONSTRUCTION,,,,
,false,,,,,,,,,
E049,Safety Inspection Prep,E,Reduce time for next safety inspection by 2 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E050,Equipment Rush Order,E,Pay $2000 to reduce construction time by 4 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E051,Permit Extension,E,Extend current construction permit by 10 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E052,Site Logistics Optimization,E,Reduce construction time by 3 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E053,Overtime Approval,E,Pay $3000 to reduce construction time by 6 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E054,Inspection Scheduling,E,Advance your place in the inspection queue by 5 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E055,Change Order Expedite,E,Reduce time for processing a change order by 3 ticks.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E056,Weather Mitigation Plan,E,Prevent a 2-tick delay due to adverse weather conditions.,Apply Equipment,0,CONSTRUCTION,,,,Immediate
,false,,,,,,,,,
E028,Fact Checking,E,Skip this turn. Reduce the current filing time by 4 ticks.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E045,Permit Pre-Approval,E,Choose a permit type. The current permit filing of that type takes 4 ticks less time.,Apply Equipment,0,DESIGN,,,,
,false,,,,,,,,,
E057,Zoning Variance Fast Track,E,Reduce time for zoning variance approval by 4 ticks.,Apply Equipment,0,DESIGN,,,,
,false,,,,,,,,,
E058,Design Team Coordination,E,Reduce design phase time by 3 ticks.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E059,Code Compliance Review,E,Prevent a potential 3-tick delay from code violations.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E060,Sustainable Design Incentive,E,Reduce design time by 2 ticks for incorporating green features.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E061,Historic Preservation Consult,E,Reduce design review time by 3 ticks for projects in historic districts.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E062,BIM Integration,E,Reduce overall design time by 4 ticks.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E063,Value Engineering Session,E,Reduce design costs by $2000 and design time by 2 ticks.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E064,Peer Review Acceleration,E,Reduce peer review process time by 3 ticks.,Apply Equipment,0,DESIGN,,,,Immediate
,false,,,,,,,,,
E065,Grant Application Expedite,E,Reduce time for grant application processing by 3 ticks.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E066,Investor Pitch Preparation,E,Gain 1 extra die throw this turn if you do not like the outcome of first throw.,Apply Equipment,0,FUNDING,,,,
,false,,,,,,,,,
E067,Tax Incentive Research,E,Reduce project costs by 10% through identified tax incentives.,Apply Equipment,0,FUNDING,,,Immediate,
,false,,,,,,,,,
E068,Loan Approval Acceleration,E,Reduce loan approval time by 4 ticks.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E069,Crowdfunding Campaign Boost,E,Gain an extra $10000 in funding this turn.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E070,Escrow Resolution,E,Release $5000 from escrow immediately.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E071,Capital Stack Optimization,E,Reduce interest payments by $2000.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E072,Brownfield Remediation Fund,E,Secure an additional $4000 for site cleanup.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E073,Historic Tax Credit Application,E,Reduce renovation costs by $3000 for qualifying historic buildings.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E074,Public-Private Partnership,E,Secure $5000 in public funds for the project.,Apply Equipment,0,FUNDING,,,,Immediate
,false,,,,,,,,,
E005,Rush Processing,E,Complete the current filing immediately skipping up to 5 ticks.,Apply Equipment,0,REGULATORY_REVIEW,,,,Immediate
,false,,,,,,,,,
E007,Expeditor's Insight,E,Draw 2 Expeditor Cards then discard 1 Expeditor Card.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E009,Favor Called In,E,Choose an opponent. Their current filing takes 2 ticks more time. your current filing takes 2 ticks less time.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E011,Permit Expedited,E,Roll a die. On 1-3 reduce processing time by 4 ticks. On 4-6 no effect.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E016,Routine Procedure,E,Roll a die. On 1-3 the last filing was the same type; reduce the current filing time by 1 tick. On 4-6 no effect.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E023,On the Radar,E,Roll a die. On 1-3 the current filing is for a high-profile client; reduce its time by 2 ticks. On 4-6 no effect.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E026,Benefit Verification,E,Roll a die. On 1-3 reduce your current filing time by 2 ticks. On 4-6 no effect.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E033,Audit Preparation,E,Roll a die. On 1-3 reduce your current filing time by 2 ticks. On 4-6 increase your current filing time by 2 ticks.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E036,Press Release,E,If the current client is high-profile reduce the filing time by 3 ticks.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E040,Bulk Discount,E,If 3+ permits are filed this turn,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E044,Appeal Process,E,If your filing was previously rejected,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E001,Expedited Review,E,The current review phase takes 1 tick less time.,Apply Equipment,0,REGULATORY_REVIEW,,,,
,false,,,,,,,,,
E002,Filing Error,E,Increase the time for the current filing by 3 ticks.,Apply Equipment,0,REGULATORY_REVIEW,,,,Immediate
,false,,,,,,,,,
E003,Efficiency Boost,E,Reduce your current filing time by 3 ticks.,Apply Equipment,0,REGULATORY_REVIEW,,,,Immediate
,false,,,,,,,,,
